model,accuracy,precision,recall,f1,roc_auc,threshold
XGBoost (scale_pos_weight),0.8537414965986394,0.5434782608695652,0.5319148936170213,0.5376344086021505,0.7727625118442587,0.5
RandomForest + SMOTE,0.8843537414965986,0.782608695652174,0.3829787234042553,0.5142857142857142,0.8151434232061332,0.5
HistGradientBoosting,0.8707482993197279,0.6451612903225806,0.425531914893617,0.5128205128205128,0.7571711603066587,0.5
LogisticRegression + SMOTE,0.7551020408163265,0.3655913978494624,0.723404255319149,0.4857142857142857,0.8231544491342923,0.5
LogisticRegression (class_weight=balanced),0.7482993197278912,0.35789473684210527,0.723404255319149,0.4788732394366197,0.8172107847359807,0.5
XGBoost + SMOTE,0.8605442176870748,0.6071428571428571,0.3617021276595745,0.4533333333333333,0.7867172021707296,0.5
RandomForest (class_weight=balanced_subsample),0.8775510204081632,0.8666666666666667,0.2765957446808511,0.41935483870967744,0.7905935050391937,0.5
